order_id,user_id,order_date,status,shipping_address,total_amount
1,33,2025-02-06T22:20:25,shipped,"697 Irwin Glens, Nicolefort, PW 73986",125.88
2,16,2025-02-10T23:45:20,cancelled,"020 Beltran Via Apt. 856, Gatesbury, WA 27309",470.32
3,38,2025-06-24T00:35:41,shipped,"Unit 9326 Box 6834, DPO AE 96015",121.66
4,11,2025-08-18T03:31:20,processing,"65118 Garcia Neck, West Nancy, MT 55374",505.44
5,9,2025-05-10T08:25:12,processing,"73433 Alvarado Harbor, Mariofort, DE 72914",466.08
6,39,2025-01-02T04:06:05,processing,"USNV Burns, FPO AA 87941",168.76
7,39,2025-08-17T15:40:09,processing,"0829 Christopher Hollow Suite 039, Joshuashire, NV 99236",1770.25
8,36,2025-07-01T14:03:21,shipped,"5598 Wong Rest, South Patricia, IL 58133",972.3
9,35,2025-09-25T07:01:12,delivered,"711 Victor Trace Suite 316, Kochmouth, VA 99790",368.95
10,1,2025-10-29T14:44:40,processing,"23404 Woods Burg Suite 870, East Beth, MP 69931",40.07
11,18,2025-05-22T06:38:55,processing,"Unit 3516 Box 7075, DPO AP 91481",235.16
12,12,2025-10-02T14:17:31,processing,"60233 Frazier Spring Apt. 982, Port Cynthia, ND 28407",216.6
13,7,2024-12-03T02:17:18,shipped,"62074 Daniel Rapids Suite 828, Johnville, FM 05553",1175.8
14,38,2025-10-16T19:48:01,shipped,"32681 William Route, South Coreyside, KS 33102",536.3
15,42,2025-05-16T07:04:15,shipped,"1167 Jackson Mount, South Justinborough, WI 45260",1188.45
16,30,2024-12-17T18:06:43,shipped,"45543 Evans Shoals Apt. 387, Ashleystad, LA 74601",83.92
17,31,2024-11-21T02:35:22,delivered,"39322 Allen Lane, Port Michellechester, MT 32890",1246.0
18,18,2025-10-16T12:25:34,cancelled,"94980 James Tunnel Apt. 601, Emilystad, RI 82135",1944.6
19,41,2025-01-21T13:58:06,cancelled,"Unit 6634 Box 2735, DPO AP 18593",1746.6
20,46,2025-06-14T20:19:36,shipped,"748 Rice Cliffs Apt. 433, East Shawn, PA 98613",772.98
21,26,2025-06-28T17:36:11,cancelled,"76903 Andrew Square, Ramirezland, WA 41066",730.83
22,27,2025-03-03T08:42:53,shipped,"Unit 3315 Box 1478, DPO AA 05801",531.1
23,14,2025-01-25T08:32:09,shipped,"971 Elizabeth Mission, Port Ana, MT 02147",1565.12
24,20,2025-01-26T18:13:02,cancelled,"5206 Miguel Spur Suite 877, East Jillianhaven, UT 51193",113.25
25,13,2024-11-24T22:58:35,shipped,"980 Lindsey Plaza Apt. 396, Sanchezton, UT 67723",538.64
26,23,2025-10-11T13:18:46,cancelled,"USNV Gordon, FPO AE 43081",1418.61
27,44,2025-09-25T23:26:58,processing,"437 Derek Harbor Suite 487, Port Kristine, IN 25948",1770.25
28,8,2025-09-01T12:00:26,delivered,"92426 Atkinson Stravenue, Lake Theresa, VT 83589",203.7
29,44,2025-04-17T07:46:24,processing,"985 Elizabeth Glen, Smithburgh, TX 38061",648.81
30,50,2025-01-19T20:14:08,shipped,"79000 Nichole Circle Apt. 838, Gregoryhaven, NV 72059",675.04
31,49,2025-02-05T08:23:35,cancelled,"6868 Russell Fields Apt. 584, Laurenmouth, DC 14550",2313.2
32,43,2025-01-03T20:51:01,processing,"245 Yang Mount Suite 167, Edwardmouth, UT 45165",765.87
33,14,2025-06-29T22:58:45,cancelled,"07539 Hicks Greens, South Jose, FM 80485",705.52
34,36,2025-01-14T21:31:23,cancelled,"26866 Moore Shore, Hernandezfort, CO 28759",2313.2
35,36,2025-08-14T06:28:07,processing,"743 Angela Crescent Apt. 702, Smithfurt, MS 10977",379.08
36,28,2024-11-28T01:53:15,delivered,"67981 Hill Islands Suite 731, Reneeland, FL 86030",498.4
37,1,2025-08-09T04:04:20,delivered,"3160 Russell Branch, Port Alexport, IN 07672",443.84
38,36,2025-09-01T02:47:05,delivered,"088 Garcia Trail Suite 200, Andreachester, NC 28897",203.7
39,43,2025-08-07T18:47:55,shipped,"444 Nolan Circle, Humphreytown, MO 10679",592.08
40,15,2025-02-14T02:24:38,processing,"483 Kevin Crescent Suite 229, South Victorland, AZ 02563",1910.75
41,28,2025-09-06T13:59:48,processing,"9407 Hannah Crossroad Suite 936, Piercehaven, IN 23015",377.53
42,9,2025-06-25T16:34:00,shipped,"19884 Arnold Mill Suite 039, West Carol, MO 13389",243.32
43,2,2025-06-05T10:56:03,delivered,"4827 Megan Crossing, Harrisfort, KS 67192",2313.2
44,20,2025-07-09T05:40:30,delivered,"61243 Perez Mews, South Jennifer, MT 66146",318.66
45,32,2025-10-04T21:41:40,shipped,"77614 Mark Rue, Cynthiamouth, DC 53186",1081.35
46,24,2025-04-16T18:02:57,cancelled,"350 Gonzalez Court Apt. 070, Haynesfurt, NE 95547",747.6
47,28,2025-03-12T09:48:04,cancelled,"72696 Stacy Isle Suite 565, East Christina, VA 51071",1545.96
48,40,2025-01-18T15:40:00,delivered,"2422 Christopher Rue Suite 313, Lake Jessica, GU 14466",186.03
49,11,2025-01-02T02:19:37,processing,"22954 Melissa Club, Marcoborough, HI 16610",288.8
50,50,2025-09-13T17:49:40,processing,"4806 Davila Tunnel, New Timothybury, RI 76777",450.96
